,Time taken,End State Visited?,Number of states visited,Total Rewards
1,0.4811112880706787,True,15 / 16,0.16677181699666577
2,0.1027228832244873,True,15 / 16,0.23856161576585108
3,0.060832977294921875,True,15 / 16,0.27671365821354565
4,0.13164687156677246,True,15 / 16,0.29313686148180634
5,0.09829854965209961,True,15 / 16,0.3018648250498941
6,0.1136927604675293,True,15 / 16,0.3065032227364821
7,0.05286669731140137,True,15 / 16,0.30896825744144024
8,0.11469316482543945,True,15 / 16,0.3100293740534367
9,0.04487895965576172,True,15 / 16,0.31059329492683274
10,0.05485129356384277,True,15 / 16,0.31089298559971124
11,0.06382942199707031,True,15 / 16,0.31105225351059634
12,0.048882246017456055,True,15 / 16,0.3111368950084252
13,0.09873485565185547,True,15 / 16,0.3111818769706728
14,0.07280540466308594,True,15 / 16,0.3112057822296716
15,0.06682085990905762,True,15 / 16,0.31121848646441924
16,0.06544280052185059,True,15 / 16,0.3112252380156376
17,0.04288434982299805,True,15 / 16,0.3112203161347993
18,0.037897586822509766,True,15 / 16,0.3112163294113203
19,0.09275150299072266,True,15 / 16,0.3112184481196328
20,0.06981229782104492,True,15 / 16,0.31121957408809703
21,0.07280325889587402,True,15 / 16,0.31122017247390366
22,0.05937480926513672,True,15 / 16,0.3112204904806551
23,0.038918495178222656,True,15 / 16,0.31122025865373326
24,0.053854942321777344,True,15 / 16,0.3112203818560645
25,0.049866437911987305,True,15 / 16,0.31122044733083454
26,0.054738759994506836,True,15 / 16,0.3112204821268118
27,0.11967802047729492,True,15 / 16,0.31122050061882073
28,0.05926871299743652,True,15 / 16,0.31122051044623256
29,0.08178043365478516,True,15 / 16,0.31122050464324413
30,0.0947566032409668,True,15 / 16,0.31122050772719007
31,0.22138714790344238,True,15 / 16,0.31122050880249547
32,0.07679247856140137,True,15 / 16,0.3112205093739569
33,0.11269807815551758,True,15 / 16,0.31122050961995223
34,0.06482434272766113,True,15 / 16,0.31122050975068444
35,0.14660406112670898,True,15 / 16,0.31122050982016075
36,0.0638282299041748,True,15 / 16,0.3112205098570834
37,0.0718080997467041,True,15 / 16,0.31122050987670546
38,0.09973359107971191,True,15 / 16,0.31122050988515215
39,0.05585050582885742,True,15 / 16,0.3112205098896412
40,0.058994293212890625,True,15 / 16,0.31122050989202676
41,0.05781698226928711,True,15 / 16,0.3112205098932945
42,0.05253314971923828,True,15 / 16,0.31122050989396827
43,0.10870766639709473,True,15 / 16,0.3112205098943263
44,0.049866437911987305,True,15 / 16,0.31122050989451683
45,0.027925491333007812,True,15 / 16,0.3112205098943625
46,0.0329129695892334,True,15 / 16,0.3112205098944445
47,0.05949664115905762,True,15 / 16,0.311220509894488
48,0.052858591079711914,True,15 / 16,0.31122050989451117
49,0.04465317726135254,True,15 / 16,0.3112205098945234
50,0.055840253829956055,True,15 / 16,0.31122050989453
51,0.05684828758239746,True,15 / 16,0.31122050989453326
52,0.10574460029602051,True,16 / 16,0.3112205098945346
53,0.043882131576538086,True,16 / 16,0.3112205098945354
54,0.04587912559509277,True,16 / 16,0.31122050989453554
55,0.05188870429992676,True,16 / 16,0.3112205098945359
56,0.028922557830810547,True,16 / 16,0.31122050989453565
57,0.05333518981933594,True,16 / 16,0.31122050989453576
58,0.04590559005737305,True,16 / 16,0.31122050989453576
59,0.05385398864746094,True,16 / 16,0.31122050989453576
60,0.13466978073120117,True,16 / 16,0.31122050989453576
61,0.04587674140930176,True,16 / 16,0.31122050989453576
62,0.07081079483032227,True,16 / 16,0.31122050989453576
63,0.05687594413757324,True,16 / 16,0.31122050989453576
64,0.06883788108825684,True,16 / 16,0.31122050989453576
65,0.06482577323913574,True,16 / 16,0.31122050989453576
66,0.4549293518066406,True,16 / 16,0.31122050989453576
67,0.0438840389251709,True,16 / 16,0.31122050989453576
68,0.0452883243560791,True,16 / 16,0.31122050989453576
69,0.03888988494873047,True,16 / 16,0.31122050989453576
70,0.055841684341430664,True,16 / 16,0.31122050989453576
71,0.0438690185546875,True,16 / 16,0.31122050989453576
72,0.047872304916381836,True,16 / 16,0.31122050989453576
73,0.03991961479187012,True,16 / 16,0.31122050989453576
74,0.06884384155273438,True,16 / 16,0.31122050989453576
75,0.04985761642456055,True,16 / 16,0.31122050989453576
76,0.04890036582946777,True,16 / 16,0.31122050989453576
77,0.051883697509765625,True,16 / 16,0.31122050989453576
78,0.1107025146484375,True,16 / 16,0.31122050989453576
79,0.04887104034423828,True,16 / 16,0.31122050989453576
80,0.059839487075805664,True,16 / 16,0.31122050989453576
81,0.06283044815063477,True,16 / 16,0.31122050989453576
82,0.059866905212402344,True,16 / 16,0.31122050989453576
83,0.06981372833251953,True,16 / 16,0.31122050989453576
84,0.02991938591003418,True,16 / 16,0.31122050989453576
85,0.0603489875793457,True,16 / 16,0.31122050989453576
86,0.043883562088012695,True,16 / 16,0.31122050989453576
87,0.07483077049255371,True,16 / 16,0.31122050989453576
88,0.0458221435546875,True,16 / 16,0.31122050989453576
89,0.04190468788146973,True,16 / 16,0.31122050989453576
90,0.048872947692871094,True,16 / 16,0.31122050989453576
91,0.05986833572387695,True,16 / 16,0.31122050989453576
92,0.0438845157623291,True,16 / 16,0.31122050989453576
93,0.05385708808898926,True,16 / 16,0.31122050989453576
94,0.050733089447021484,True,16 / 16,0.31122050989453576
95,0.03593325614929199,True,16 / 16,0.31122050989453576
96,0.13413596153259277,True,16 / 16,0.31122050989453576
97,0.05089116096496582,True,16 / 16,0.31122050989453576
98,0.04488062858581543,True,16 / 16,0.31122050989453576
99,0.05485415458679199,True,16 / 16,0.31122050989453576
100,0.07383179664611816,True,16 / 16,0.31122050989453576
101,0.08978819847106934,True,16 / 16,0.31122050989453576
102,0.02992105484008789,True,16 / 16,0.31122050989453576
103,0.04390358924865723,True,16 / 16,0.31122050989453576
104,0.038916587829589844,True,16 / 16,0.31122050989453576
105,0.06485438346862793,True,16 / 16,0.31122050989453576
106,0.07081103324890137,True,16 / 16,0.31122050989453576
107,0.1246938705444336,True,16 / 16,0.31122050989453576
108,0.04188656806945801,True,16 / 16,0.31122050989453576
109,0.03692984580993652,True,16 / 16,0.31122050989453576
110,0.04687690734863281,True,16 / 16,0.31122050989453576
111,0.046396493911743164,True,16 / 16,0.31122050989453576
112,0.06899905204772949,True,16 / 16,0.31122050989453576
113,0.04191732406616211,True,16 / 16,0.31122050989453576
114,0.10272455215454102,True,16 / 16,0.31122050989453576
115,0.045113325119018555,True,16 / 16,0.31122050989453576
116,0.10272574424743652,True,16 / 16,0.31122050989453576
117,0.03892326354980469,True,16 / 16,0.31122050989453576
